name,region,CO2,GDP_per_capita,airports,alcohol,area,birth_rate,broadband,budget_surplus_or_deficit,child_mortality_ratio,death_rate,debt,education,electricity,energy_per_capita,exports,imports,inflation,internet_users,labor_force,life_expectancy,maternal_mortality_ratio,median_age,military_expenditures,net_migration_rate,obesity,population,population_growth_rate,railways,roadways,total_fertility,unemployment
United Arab Emirates,Middle East,276236000.00,69700.00,43,2.03,83600.00,10.76,3245123.00,-0.2,5.06,1.62,19.7,3.9,35173000.00,471788000.00,308500000000.00,229200000000.00,-2.08,9400000.00,6074000.00,79.75,9,38.4,6,-3.35,31.7,9973449.00,0.58,,4080.00,1.62,3.36
Kazakhstan,Central Asia,263689000.00,26100.00,96,3.73,2724900.00,14.92,2620400.00,-1.8,18.77,8.05,26.63,4.5,25022000.00,180726000.00,66132000000.00,49196000000.00,6.75,17290000.00,9248000.00,72.8,13,31.6,0.9,0.39,21,19543464.00,0.73,16636.00,96167.00,2.08,4.9
Malaysia,East and Southeast Asia,254764000.00,26300.00,114,0.64,329847.00,14.39,3358800.00,-3,6.49,5.72,62.03,3.9,34959000.00,123755000.00,256659000000.00,230188000000.00,2.48,32980000.00,16740000.00,76.38,21,29.2,1.4,1.46,15.6,34219975.00,1.01,1851.00,144403.00,1.74,4.61
Vietnam,East and Southeast Asia,249929000.00,10600.00,45,3.41,331210.00,15.29,16699249.00,-6.7,14.42,5.77,58.5,4.1,65283000.00,36392000.00,339984000000.00,338021000000.00,1.83,71780000.00,56203000.00,75.79,124,31.9,2.5,-0.21,2.1,104799174.00,0.93,2600.00,195468.00,2.04,2.17
Singapore,East and Southeast Asia,238983000.00,106000.00,9,1.81,719.00,8.94,1509700.00,-0.3,1.54,4.15,153.41,2.8,12240000.00,639951000.00,733782000000.00,609280000000.00,2.3,5369000.00,3290000.00,86.51,7,35.6,3.2,4.18,6.1,5975383.00,0.9,,3500.00,1.17,3.62
Egypt,Africa,235137000.00,11600.00,83,0.14,1001450.00,20.48,9349469.00,-8.6,17.27,4.32,103,2.5,59826000.00,40063000.00,58339000000.00,94039000000.00,5.21,79200000.00,30179000.00,74.72,17,24.1,1.6,-0.29,32,109546720.00,1.59,5085.00,65050.00,2.76,9.33
Netherlands,Europe,214416000.00,56600.00,29,8.23,41543.00,10.98,7525016.00,1.1,3.34,9.27,56.5,5.3,43409000.00,219606000.00,839600000000.00,735700000000.00,2.68,16560000.00,9902000.00,82.36,4,42.8,1.2,1.89,20.4,17463930.00,0.36,3055.00,139124.00,1.77,4.01
Pakistan,South Asia,193869000.00,5200.00,151,0.04,796095.00,26.01,2523027.00,-5.8,52.73,5.94,67,2.4,39925000.00,15859000.00,35566000000.00,76392000000.00,9.5,48300000.00,73133000.00,69.96,154,22,3.6,-1.01,8.6,247653551.00,1.91,11881.00,264175.00,3.39,4.35
Argentina,South America,193205000.00,21500.00,916,7.95,2780400.00,15.38,9571562.00,-6,9.14,7.28,57.6,5,44731000.00,79083000.00,87415000000.00,72362000000.00,25.7,39150000.00,21206000.00,78.55,45,32.4,0.8,-0.08,28.3,46621847.00,0.8,17866.00,281290.00,2.17,10.9
Ukraine,Europe,185686000.00,12900.00,215,5.69,603550.00,8.79,7769401.00,-1.5,7.21,13.7,58.72,5.4,56816000.00,82571000.00,81504000000.00,84175000000.00,9.36,3239000.00,20463000.00,73.72,17,41.2,3.1,-0.27,24.1,43306477.00,-0.52,21733.00,169694.00,1.57,8.88
Algeria,Africa,151633000.00,11000.00,149,0.59,2381740.00,17.84,3790459.00,-9.6,19.22,4.33,27.5,7,21694000.00,61433000.00,41776000000.00,44322000000.00,7.23,31240000.00,12312000.00,78.27,78,28.9,6.4,-0.81,27.4,44758398.00,1.27,4020.00,104000.00,2.47,12.7
Iraq,Middle East,143479000.00,9000.00,102,0.16,438317.00,24.22,6254099.00,-4.2,19.17,3.88,27.44,4.7,28369000.00,63174000.00,78261000000.00,50707000000.00,6.04,21560000.00,11184000.00,73.45,76,21.2,5.6,-0.98,30.4,41266109.00,1.94,2272.00,59623.00,3.17,14.19
Philippines,East and Southeast Asia,142282000.00,8100.00,247,4.85,300000.00,22.17,7936574.00,-2.2,22.14,6.32,39.9,3.7,27885000.00,19261000.00,87790000000.00,126508000000.00,3.93,58300000.00,44242000.00,70.48,78,24.1,1.4,-0.04,6.4,116434200.00,1.58,77.00,216387.00,2.77,2.41
Belgium,Europe,128247000.00,51700.00,41,9.15,30528.00,10.86,4734210.00,-1,3.15,9.57,119.43,6.7,26929000.00,234216000.00,515625000000.00,509018000000.00,2.44,10920000.00,5240000.00,82.06,5,41.6,0.9,4.18,22.1,11913633.00,0.55,3602.00,118414.00,1.77,6.42
Qatar,Middle East,111922000.00,92900.00,6,0.96,11586.00,9.27,296126.00,-5.8,6.46,1.42,53.8,3.2,10633000.00,723582000.00,105549000000.00,61204000000.00,2.3,2700000.00,1977000.00,80.03,8,33.7,3.4,0.78,35.1,2532104.00,0.86,,7039.00,1.9,0.26
Turkmenistan,Central Asia,109037000.00,15000.00,26,2.88,488100.00,17.16,10000.00,-2.8,36.72,5.96,28.8,3.1,5205000.00,330507000.00,7458000000.00,4571000000.00,8,1563023.00,1998000.00,72.11,5,29.2,1.8,-1.69,18.6,5690818.00,0.95,5113.00,58592.00,2.03,5.08
Nigeria,Africa,104494000.00,4900.00,54,4.49,923768.00,34,65313.00,-1.8,55.17,8.52,21.8,0.5,11691000.00,8466000.00,44468000000.00,66107000000.00,16.95,115500000.00,65116000.00,61.79,"1,047",18.6,0.4,-0.21,8.9,230842743.00,2.53,3798.00,195000.00,4.57,9.79
Venezuela,South America,103708000.00,12500.00,444,2.51,912050.00,16.99,2561556.00,-46.1,14.1,6.55,38.9,1.3,32956000.00,85829000.00,83401000000.00,18432000000.00,"146,101.70",22734162.00,10245000.00,74.25,259,30,1.8,13.55,25.6,30518260.00,2.4,447.00,96189.00,2.2,6.41
Uzbekistan,Central Asia,102965000.00,7700.00,53,2.45,447400.00,15.18,4820009.00,0.3,18.55,5.43,24.3,4.9,16042000.00,57709000.00,16399000000.00,27774000000.00,10.85,26180000.00,14094000.00,75.55,30,30.1,2.9,-1.7,16.6,31360836.00,0.81,4642.00,86496.00,1.72,7.16
Czechia,Europe,99533000.00,40700.00,128,12.73,78867.00,8.43,3845426.00,1.6,2.37,10.77,34.7,5.1,22485000.00,161972000.00,204785000000.00,196243000000.00,3.84,9130000.00,5266000.00,79.96,3,43.3,0.96,2.32,26,10706242.00,0,9548.00,55744.00,1.5,2.89
Bangladesh,South Asia,96180000.00,5900.00,18,0,148460.00,17.5,10052819.00,-3.2,29.58,5.5,33.1,2.1,18461000.00,9917000.00,49386000000.00,85303000000.00,5.55,66300000.00,70961000.00,74.96,123,27.9,1.3,-2.88,3.6,167184465.00,0.91,2460.00,369105.00,2.08,5.23
Kuwait,Middle East,92582000.00,43900.00,7,0,17818.00,17.65,73948.00,-10,7.27,2.27,20.6,6.6,19371000.00,381985000.00,77121000000.00,48954000000.00,3.42,4300000.00,2363000.00,79.35,7,29.7,5,-4.07,37.9,3103580.00,1.13,,5749.00,2.22,3.71
Hong Kong,East and Southeast Asia,92493000.00,55900.00,2,,1108.00,7.85,2885586.00,5.2,2.52,8.03,0.1,4,14168000.00,172009000.00,608159000000.00,601528000000.00,1.57,6975000.00,3842000.00,83.8,,45.6,,1.65,,7288167.00,0.15,,2193.00,1.23,5.32
Chile,South America,88333000.00,25400.00,481,7.8,756102.00,12.57,3763826.00,-2.8,6.41,6.58,23.6,5.6,29808000.00,81953000.00,100634000000.00,102086000000.00,4.52,17100000.00,8684000.00,80.02,15,35.5,2,0.32,28,18549457.00,0.63,7281.50,77801.00,1.75,9.13
Colombia,South America,81007000.00,14600.00,836,4.09,1138910.00,15.06,7764772.00,-2.7,11.65,7.84,90.4,4.9,19769000.00,34703000.00,50793000000.00,70840000000.00,3.5,37960000.00,26137000.00,74.89,75,31.2,3.1,-1.85,22.3,49336454.00,0.54,2141.00,205379.00,1.94,14.34
Oman,Middle East,76321000.00,34300.00,132,0.47,309500.00,21.62,508949.00,-13.8,14.16,3.21,46.9,5.4,8601000.00,292022000.00,46324000000.00,36502000000.00,1.55,4320000.00,2259000.00,77.16,17,26.2,13.9,-0.46,27,3833465.00,1.8,,60230.00,2.67,3.12
Greece,Europe,70163000.00,29500.00,77,6.33,131957.00,7.52,4257026.00,0.8,3.49,12.02,252.29,4.4,21545000.00,108022000.00,87521000000.00,103532000000.00,1.22,7800000.00,4619000.00,81.71,8,45.3,2.3,1.03,24.9,10497595.00,-0.35,2345.00,117000.00,1.4,14.8
Romania,Europe,68746000.00,30800.00,45,10.96,238391.00,8.63,5684782.00,-2.8,5.65,14.92,57.11,3.7,20528000.00,71736000.00,115879000000.00,132056000000.00,5.05,15960000.00,8381000.00,76.31,10,42.5,1.41,-3.86,22.5,18326327.00,-1.01,10628.00,84185.00,1.63,5.17
Austria,Europe,65540000.00,54100.00,50,11.9,83871.00,9.39,2606000.00,-0.7,3.2,9.86,99.91,5.1,28376000.00,171299000.00,268277000000.00,265769000000.00,2.77,8277000.00,4661000.00,82.48,5,44.5,0.7,3.54,20.1,8940860.00,0.31,6123.00,137039.00,1.51,6.3
Israel,Middle East,61092000.00,39400.00,42,3.07,21937.00,17.3,2602079.00,-2,3.49,5.05,60.9,7.1,18993000.00,113273000.00,143884000000.00,124578000000.00,-0.59,8010000.00,4186000.00,83.54,3,30.4,5.5,1.99,26.1,9043387.00,1.43,1497.00,20391.00,2.54,4.33
Morocco,Africa,60200000.00,8100.00,62,0.51,716550.00,17.1,2102434.00,-3.6,18.73,6.61,65.1,6.8,14187000.00,24590000.00,47078000000.00,60047000000.00,1.4,32560000.00,11814000.00,73.95,72,29.1,3.4,-1.73,26.1,37067420.00,0.88,2067.00,57300.00,2.27,11.47
Peru,South America,54996000.00,12500.00,191,5.74,1285216.00,16.96,3044000.00,-3.1,10.8,11.04,34.67,4,15340000.00,36465000.00,66098000000.00,58611000000.00,4.27,24140000.00,18352000.00,68.94,69,29.1,1.2,-0.89,19.7,32440172.00,0.5,1854.40,18699.00,2.18,4.83
Belarus,Europe,54695000.00,19800.00,65,10.57,207600.00,8.87,3255552.00,2.9,3.23,12.81,33.24,4.7,11360000.00,102558000.00,49425000000.00,45459000000.00,9.46,8352000.00,4950000.00,74.54,1,40.9,1.5,0.72,24.5,9383853.00,-0.32,5528.00,86600.00,1.52,4.74
Portugal,Europe,50370000.00,33700.00,64,10.37,92090.00,7.99,4160795.00,-3,2.47,10.9,125.7,5,22364000.00,101734000.00,105648000000.00,112413000000.00,1.27,8200000.00,5174000.00,81.71,12,44.6,1.27,1.2,20.8,10223150.00,-0.17,2526.00,82900.00,1.44,6.65
Hungary,Europe,48589000.00,33600.00,41,10.79,93028.00,8.58,3382136.00,-2,4.55,12.89,96.11,4.8,10873000.00,108212000.00,148229000000.00,147577000000.00,5.11,8633000.00,4910000.00,77.44,15,43.6,1,1.21,26.4,9670009.00,-0.31,7687.00,203601.00,1.49,4.12
Sweden,Europe,48144000.00,53600.00,231,7.1,450295.00,10.76,4179574.00,1.3,2.28,9.5,44,7.2,43499000.00,210882000.00,290793000000.00,263269000000.00,2.16,8800000.00,5556000.00,82.8,5,41.1,1,3.79,20.6,10536338.00,0.51,10910.00,573134.00,1.67,8.66
Serbia,Europe,47735000.00,19800.00,26,7.45,77474.00,8.87,1730496.00,0.2,4.55,15.12,62.5,3.6,8986000.00,98195000.00,33726000000.00,39039000000.00,4.09,5589000.00,3176000.00,75.08,10,43.4,1.8,0,21.5,6693375.00,-0.63,3333.00,44248.00,1.46,11.81
Bahrain,Middle East,43112000.00,49400.00,4,1.18,760.00,12.3,148928.00,-10.1,9.98,2.83,88.5,2.2,6982000.00,547976000.00,30097000000.00,27187000000.00,-0.61,1500000.00,819100.00,80.13,16,32.9,4.6,-0.99,29.8,1553886.00,0.85,,4122.00,1.66,1.87
Finland,Europe,41996000.00,48800.00,148,8.23,338145.00,10.33,1846000.00,-0.6,2.11,10.37,61.3,5.9,20418000.00,216571000.00,116905000000.00,116277000000.00,2.19,5115000.00,2820000.00,81.96,8,42.8,1.4,2.25,22.2,5614571.00,0.22,5918.00,454000.00,1.74,7.53
Laos,East and Southeast Asia,40726000.00,7800.00,41,8.15,236800.00,20.35,128000.00,-5.5,36.56,6.26,63.6,2.3,9346000.00,73187000.00,7820000000.00,6527000000.00,3.76,4588000.00,3915000.00,68.59,126,24,0.2,-1.09,5.3,7852377.00,1.3,422.00,39586.00,2.3,1.26
New Zealand,Australia and Oceania,40344000.00,42900.00,123,9.17,268838.00,12.69,1764984.00,1.6,3.39,6.89,46.33,6,9615000.00,186804000.00,54777000000.00,62862000000.00,3.94,4896000.00,2911000.00,82.74,7,37.2,1.1,4.81,30.8,5109702.00,1.06,4128.00,94000.00,1.86,4.12
Trinidad and Tobago,Central America and the Caribbean,39652000.00,23000.00,4,5.81,5128.00,10.62,376771.00,-8.2,15.44,8.48,41.8,4.1,2123000.00,,11467000000.00,8592000000.00,2.06,1185000.00,702900.00,76.19,27,37.8,1.4,-0.97,18.6,1407460.00,0.12,,,1.63,4.8
Switzerland,Europe,38739000.00,71000.00,63,9.41,41277.00,10.3,4028238.00,1.1,3.51,8.37,20.91,5.2,22921000.00,137918000.00,571376000000.00,480522000000.00,0.58,8352000.00,4963000.00,83.42,7,42.7,0.7,4.5,19.5,8563760.00,0.64,5296.00,71557.00,1.58,5.32
Bulgaria,Europe,38373000.00,24400.00,68,11.18,110879.00,7.97,2115053.00,1.8,7.82,14.31,32.24,4,11097000.00,103924000.00,51505000000.00,50059000000.00,3.3,5175000.00,3291000.00,75.83,7,43.7,1.2,-0.29,25,6827736.00,-0.66,4029.00,19512.00,1.51,5.42
Libya,Africa,38297000.00,22000.00,146,0.01,1759540.00,20.88,332000.00,-25.1,10.95,3.45,4.7,,10516000.00,107118000.00,9537000000.00,14334000000.00,28.5,3095400.00,2280000.00,77.42,72,25.8,,-2.05,32.5,7252573.00,1.54,,37000.00,3.04,19.58
Norway,Europe,36731000.00,65700.00,95,6.05,323802.00,11.89,2387661.00,4.4,2.28,7.93,36.5,5.9,38360000.00,333833000.00,199074000000.00,140444000000.00,3.48,5346000.00,2971000.00,82.75,2,39.5,1.74,3.89,23.1,5597924.00,0.79,3848.00,94902.00,1.83,4.99
Ecuador,South America,36051000.00,10700.00,432,3.05,283561.00,16.19,2371297.00,-4.5,17.72,5.18,45.4,3.7,9354000.00,42564000.00,29325000000.00,28567000000.00,0.13,13680000.00,8528000.00,78.25,66,28.8,2.4,0,19.9,17483326.00,1.1,965.00,43950.00,2.02,6.43
Ireland,Europe,35475000.00,102500.00,40,10.91,70273.00,12.08,1516473.00,-0.3,3.41,6.74,71.58,3.1,11430000.00,133674000.00,677028000000.00,477544000000.00,2.36,4750000.00,2518000.00,81.87,5,37.8,0.3,3.76,25.3,5323991.00,0.91,1688.00,99830.00,1.91,6.63
Azerbaijan,Middle East,35389000.00,14400.00,23,1.38,86600.00,13.2,1995474.00,-1.6,22.93,6.92,54.1,4.3,7677000.00,64416000.00,25488000000.00,16337000000.00,6.65,8600000.00,4919000.00,74.42,41,32.6,3.7,0,19.9,10420515.00,0.63,2944.30,24981.00,1.86,6.58
Denmark,Europe,33850000.00,58000.00,80,9.16,43094.00,11.25,2590282.00,1.1,3,9.55,35.3,6.4,17655000.00,124163000.00,234262000000.00,208121000000.00,1.85,5841000.00,3051000.00,81.87,5,42,1.15,2.71,19.7,5946984.00,0.44,2682.00,74558.00,1.77,4.8
Slovakia,Europe,32506000.00,31900.00,35,10.3,49035.00,8.78,1701561.00,-1,4.74,10.18,77.36,4.6,7868000.00,129665000.00,107430000000.00,107358000000.00,3.15,4806000.00,2766000.00,78.55,5,41.8,1.1,0.2,20.5,5425319.00,-0.12,3627.00,56926.00,1.46,6.74
Burma,East and Southeast Asia,31848000.00,4000.00,64,2.06,676578.00,16.04,688185.00,-3.2,32.2,7.14,33.6,2.1,7247000.00,10679000.00,17523000000.00,17356000000.00,8.83,23760000.00,22122000.00,70.21,179,29.2,5.1,-1.36,5.8,57970293.00,0.75,5031.00,157000.00,2,2.17
Syria,Middle East,26893000.00,2900.00,90,0.13,187437.00,22.19,1549356.00,-8.7,15.48,4.07,94.8,,10082000.00,24567000.00,1850000000.00,6279000000.00,28.1,8492468.00,6143000.00,74.55,30,23.5,6.5,45.78,27.8,22933531.00,6.39,2052.00,69873.00,2.74,10.57
Dominican Republic,Central America and the Caribbean,26808000.00,18600.00,36,5.56,48670.00,17.8,1031858.00,-3,20.68,6.31,37.2,4.6,5674000.00,39016000.00,20509000000.00,28541000000.00,8.24,9350000.00,5027000.00,72.84,107,27.9,0.6,-2.66,27.6,10790744.00,0.88,496.00,19705.00,2.2,8.5
Lebanon,Middle East,25838000.00,13000.00,8,1.14,10400.00,12.86,432070.00,-6.9,6.88,5.57,146.8,1.7,3768000.00,53528000.00,10147000000.00,17383000000.00,154.76,4872000.00,1719000.00,79,21,33.7,4.6,-0.94,32,5331203.00,0.64,401.00,21705.00,1.71,14.49
Panama,Central America and the Caribbean,25263000.00,29000.00,117,6.54,75420.00,17.71,562413.00,-1.6,15.28,5.88,37.8,3.9,4106000.00,98946000.00,27237000000.00,24627000000.00,1.63,2992000.00,1966000.00,78.44,50,30.1,1.2,3.22,22.7,4404108.00,1.51,77.00,,2.37,12.09
Sri Lanka,South Asia,23939000.00,13400.00,18,2.58,65610.00,13.61,1781530.00,-5.5,8.04,6.54,79.1,1.9,4527000.00,17268000.00,13083000000.00,18271000000.00,7.01,14740000.00,8268000.00,78.24,29,33.7,2.2,-1.21,5.2,23326272.00,0.59,1562.00,114093.00,1.97,5.39
Tunisia,Africa,23692000.00,10400.00,29,1.51,163610.00,14.05,1334059.00,-5.8,11.57,6.38,70.3,7.3,5777000.00,35620000.00,19743000000.00,24269000000.00,5.71,9480000.00,4226000.00,77.07,37,32.7,4.4,-1.33,26.9,11976182.00,0.63,2173.00,,1.96,16.82
Jordan,Middle East,23470000.00,9200.00,18,0.25,89342.00,22.37,630545.00,-5.1,13.56,3.47,75.14,3.2,5644000.00,39331000.00,13864000000.00,23392000000.00,1.35,9130000.00,2865000.00,76.26,41,23.5,5.7,-10.99,35.5,11086716.00,0.79,509.00,7203.00,2.91,19.25
Mongolia,East and Southeast Asia,22740000.00,11700.00,44,5.46,1564116.00,15.37,307166.00,-6.4,19.77,6.33,73.94,4.7,1479000.00,83045000.00,7646000000.00,7340000000.00,7.35,2772000.00,1331000.00,71.65,39,29.8,0.9,-0.77,20.6,3255468.00,0.83,1815.00,113200.00,1.89,7.08
Angola,Africa,19362000.00,5900.00,102,5.84,1246700.00,41.42,230610.00,-6.7,57.2,7.8,65,2.4,7344000.00,11693000.00,33675000000.00,18845000000.00,25.75,11550000.00,14462000.00,62.51,222,15.9,2.9,-0.19,8.2,35981281.00,3.34,2761.00,26000.00,5.76,8.53
Guatemala,Central America and the Caribbean,19041000.00,8900.00,291,1.63,108889.00,21.88,612000.00,-1.3,25.57,4.89,31.56,3.1,5185000.00,19411000.00,15318000000.00,27388000000.00,4.26,9180000.00,6671000.00,73.18,96,23.2,0.4,-1.63,21.2,17980803.00,1.54,800.00,17440.00,2.57,3.57
Puerto Rico,Central America and the Caribbean,18999000.00,32600.00,29,,9104.00,7.84,671284.00,-0.7,5.92,10,51.6,3.6,6180000.00,94379000.00,73170000000.00,49010000000.00,1.8,2564100.00,1136000.00,81.89,34,43.6,,-10.76,,3057311.00,-1.29,,26862.00,1.25,8.27
"Korea, North",East and Southeast Asia,18465000.00,1700.00,82,3.61,120538.00,14.06,,-0.4,22,9.66,,,8413000.00,12610000.00,4582000000.00,2320000000.00,,,17160000.00,71.88,107,34.6,,-0.04,6.8,26072217.00,0.44,7435.00,25554.00,1.89,2.59
Ghana,Africa,18093000.00,5400.00,10,1.59,238533.00,28.04,78371.00,-6,31.87,5.99,71.8,3.9,5312000.00,11239000.00,23901000000.00,25967000000.00,9.97,22440000.00,14095000.00,69.72,263,21.4,0.3,-0.16,10.9,33846114.00,2.19,947.00,65725.00,3.61,4.7
Bolivia,South America,17786000.00,8100.00,855,2.98,1098581.00,18.08,931918.00,-7.8,22.28,4.33,49,9.8,3834000.00,27094000.00,11439000000.00,10799000000.00,0.74,7920000.00,6322000.00,72.5,161,25.3,1.5,-0.96,20.2,12186079.00,1.06,3960.00,90568.00,2.26,8.51
Kenya,Africa,17709000.00,4700.00,197,1.68,580367.00,26.01,674191.00,-6.7,26.94,4.95,54.2,4.8,3304000.00,6310000.00,11825000000.00,21853000000.00,6.11,15370000.00,23915000.00,70.04,530,20,1.4,-0.19,7.1,57052004.00,2.09,3819.00,161452.00,3.23,5.74
Sudan,Africa,17319000.00,3700.00,67,1.93,1861484.00,33.32,28782.00,-10.6,41.4,6.19,121.6,,4354000.00,8047000.00,5916000000.00,9788000000.00,382.82,13248000.00,12921000.00,67.45,270,18.3,2.9,-1.63,6.6,49197555.00,2.55,7251.00,31000.00,4.54,19.81
Ethiopia,Africa,16798000.00,2300.00,57,1.16,1104300.00,29.97,212000.00,-3.2,32.44,5.6,31.45,4.5,4856000.00,3219000.00,9496000000.00,20859000000.00,26.84,20400000.00,56664000.00,68.59,267,19.8,0.7,-0.19,4.5,116462712.00,2.42,659.00,120171.00,3.92,3.69
Croatia,Europe,16752000.00,31600.00,69,9.64,56594.00,8.6,1030973.00,0.8,8.58,12.98,104.89,5.5,4940000.00,89733000.00,35308000000.00,36331000000.00,2.55,3321000.00,1742000.00,77.47,5,43.9,1.7,-0.26,24.4,4169239.00,-0.47,2617.00,26958.00,1.46,8.68
Cuba,Central America and the Caribbean,16478000.00,12300.00,133,4.7,110860.00,9.99,231654.00,-10.8,4.07,9.37,47.7,,7479000.00,32785000.00,2630000000.00,11060000000.00,5.5,7810000.00,5135000.00,79.87,39,42.1,3.1,-2.53,24.6,10985974.00,-0.19,8367.00,60000.00,1.71,2.76
Bosnia and Herzegovina,Europe,16209000.00,15700.00,24,5.46,51197.00,8.31,770424.00,2.1,5.1,10.26,46.05,,4775000.00,71815000.00,9948000000.00,12726000000.00,1.98,2508000.00,1169000.00,78.22,6,43.3,0.9,-0.38,17.9,3807764.00,-0.23,965.00,22926.00,1.37,15.22
Lithuania,Europe,14503000.00,39300.00,61,11.93,65300.00,9.09,796814.00,0.5,3.61,15.17,53.28,4,3512000.00,101651000.00,53397000000.00,50377000000.00,4.68,2436000.00,1476000.00,75.95,9,44.5,2,-4.34,26.3,2655755.00,-1.04,1911.00,84166.00,1.61,7.9
Gibraltar,Europe,14256000.00,61700.00,1,,7.00,13.84,21009.00,1.1,6.13,8.74,7.5,,43000.00,0.00,202300000.00,2967000000.00,2.5,31152.00,24420.00,80.65,,35.5,,-3.24,,29629.00,0.19,,29.00,1.9,1
Cambodia,East and Southeast Asia,13844000.00,4400.00,16,4.56,181035.00,18.75,233732.00,-1.8,28.75,5.7,30.4,3.1,2954000.00,13629000.00,20126000000.00,32830000000.00,2.92,10200000.00,9345000.00,71.03,218,26.4,2,-2.67,3.9,16891245.00,1.04,642.00,47263.00,2.2,0.61
Slovenia,Europe,13553000.00,40000.00,16,11.05,20273.00,8.12,651604.00,0,1.51,10.46,73.6,5.8,4062000.00,134836000.00,51634000000.00,47665000000.00,1.92,1869000.00,1036000.00,82.02,5,44.9,1,1.54,20.2,2099790.00,-0.08,1207.00,38985.00,1.6,4.42
Cote d'Ivoire,Africa,11880000.00,5300.00,27,1.7,322463.00,27.92,260097.00,-4.2,54.04,7.45,47,3.4,2197000.00,8225000.00,13232000000.00,12660000000.00,4.09,12150000.00,8876000.00,62.71,480,20.3,1.2,1.16,10.3,29344847.00,2.16,660.00,81996.00,3.47,3.47
Tanzania,Africa,11491000.00,2600.00,166,7.81,947300.00,32.9,1135608.00,-1.8,30.25,5.02,37,3.3,1623000.00,3334000.00,8555000000.00,9181000000.00,3.69,20480000.00,29863000.00,70.48,238,18.2,1.1,-0.39,8.4,65642682.00,2.75,4097.00,145203.00,4.33,2.65
Luxembourg,Europe,11308000.00,115700.00,2,11,2586.00,11.59,235155.00,1.5,3.21,7.17,23,5,1899000.00,310068000.00,177831000000.00,148150000000.00,2.53,633600.00,333900.00,83.17,6,39.5,0.5,11.39,22.6,660924.00,1.58,271.00,2875.00,1.63,5.23
Senegal,Africa,10696000.00,3500.00,20,0.25,196722.00,30.84,153813.00,-3.6,31.75,5,48.3,5.5,1312000.00,9221000.00,5287000000.00,8960000000.00,2.55,9860000.00,4377000.00,70.25,261,19.4,1.5,-0.69,8.8,18384660.00,2.52,906.00,16665.00,4.17,3.72
Georgia,Middle East,10299000.00,15500.00,22,7.45,69700.00,10.79,986809.00,-3.8,14.45,10.76,65.88,3.6,4579000.00,63286000.00,8086000000.00,11151000000.00,9.57,2888000.00,1724000.00,77.74,28,38.6,2,0.06,21.7,4936390.00,0.01,1363.00,20295.00,1.75,10.66
Yemen,Middle East,10158000.00,2500.00,57,0.02,527968.00,24.05,391000.00,-5.2,45.54,5.54,74.5,,1772000.00,5453000.00,384500000.00,4079000000.00,24.7,8229624.00,7299000.00,67.83,183,19.8,,-0.19,17.1,31565602.00,1.83,,71300.00,2.91,13.57
Jamaica,Central America and the Caribbean,10002000.00,9600.00,28,3.46,10991.00,15.77,385603.00,0.5,10.92,7.44,106.28,6,1216000.00,49700000.00,4385000000.00,7414000000.00,5.86,2296000.00,1418000.00,76.01,99,29.4,0.9,-7.42,24.7,2820982.00,0.09,,22121.00,2.05,9.18
Brunei,East and Southeast Asia,9956000.00,60100.00,1,0.69,5765.00,15.98,71078.00,-17.3,10.26,3.85,2.8,4.4,1261000.00,415184000.00,11202000000.00,9219000000.00,1.73,441000.00,219800.00,78.61,44,31.1,3.6,2.15,14.1,484991.00,1.43,,2976.00,1.74,7.65
Malta,Europe,9576000.00,44700.00,1,8.07,316.00,9.59,213419.00,3.9,4.45,8.61,50.7,5.9,784000.00,267739000.00,22110000000.00,21362000000.00,1.5,461100.00,280300.00,83.39,3,42.3,0.5,4.96,28.9,467138.00,0.59,,3096.00,1.51,3.5
Honduras,Central America and the Caribbean,8523000.00,5600.00,103,2.73,112090.00,17.64,396916.00,-2.7,14.77,4.69,39.5,6.4,3991000.00,19800000.00,7941000000.00,14495000000.00,4.48,4800000.00,4314000.00,75.43,72,24.4,1.7,-1.32,21.4,9571352.00,1.16,699.00,14742.00,1.98,8.51
Latvia,Europe,8450000.00,32100.00,42,12.9,64589.00,8.5,490569.00,-0.5,4.78,14.69,36.3,6,3089000.00,86645000.00,25248000000.00,26622000000.00,3.28,1729000.00,955000.00,76.16,18,44.4,1.6,-5.06,23.6,1821750.00,-1.13,2216.00,70244.00,1.55,7.6
Costa Rica,Central America and the Caribbean,8115000.00,21200.00,161,3.07,51100.00,14.03,992725.00,-6.1,8.2,4.97,48.9,6.7,3674000.00,44899000.00,23761000000.00,22298000000.00,1.73,4316000.00,2426000.00,79.87,22,32.6,0.7,0.76,25.7,5256612.00,0.98,278.00,5035.00,1.86,17.95
Moldova,Europe,8114000.00,14000.00,7,7.45,33851.00,9.94,719001.00,-0.6,11.38,12.51,33.01,6.4,594000.00,40398000.00,4197000000.00,7915000000.00,5.11,1891000.00,810000.00,72.72,12,37.7,0.4,-8.8,18.9,3250532.00,-1.14,1171.00,9352.00,1.59,3.96
Cyprus,Europe,8024000.00,41700.00,15,9.59,9251.00,10.37,332080.00,1.8,8.2,6.99,97.5,6.1,1881000.00,133920000.00,24551000000.00,23748000000.00,2.45,809900.00,655100.00,79.96,68,37.9,1.4,6.65,21.8,1308120.00,1,,12901.00,1.48,6.13
