name,region,CO2,GDP_per_capita,airports,alcohol,area,birth_rate,broadband,budget_surplus_or_deficit,child_mortality_ratio,death_rate,debt,education,electricity,energy_per_capita,exports,imports,inflation,internet_users,labor_force,life_expectancy,maternal_mortality_ratio,median_age,military_expenditures,net_migration_rate,obesity,population,population_growth_rate,railways,roadways,total_fertility,unemployment
French Polynesia,Australia and Oceania,1030000.00,17000.00,54,,4167.00,13.22,64000.00,1.2,4.34,5.67,,,272000.00,0.00,1245000000.00,2235000000.00,0,218100.00,130100.00,78.66,,33.3,,-0.61,,301488.00,0.7,,2590.00,1.8,14.39
Cabo Verde,Africa,1002000.00,6100.00,9,4.7,4033.00,18.19,24839.00,-3,22.96,5.77,125.8,7.6,205000.00,26539000.00,459923000.00,1117000000.00,1.86,413000.00,234300.00,74.02,42,26.8,0.6,-0.57,11.8,603901.00,1.19,,1350.00,2.11,15.42
Bhutan,South Asia,934000.00,10900.00,3,0.07,38394.00,15.61,3189.00,-3.4,25.61,6.05,117.33,7,2334000.00,100135000.00,741602000.00,1027000000.00,7.35,670800.00,361000.00,73.01,60,29.1,,0,6.4,876181.00,0.96,,12205.00,1.77,4.33
Sierra Leone,Africa,899000.00,1600.00,8,3.22,71740.00,31.49,,-7.9,72.3,9.14,63.9,9.1,180000.00,1803000.00,700971000.00,1418000000.00,11.87,1047499.00,2858000.00,59.07,443,19.1,0.4,1.72,8.7,8908040.00,2.41,,11701.00,3.71,5.33
Somalia,Africa,882000.00,1100.00,52,0,637657.00,37.71,119000.00,-0.1,85.06,11.43,76.7,0.3,91000.00,802000.00,819000000.00,94430000000.00,1.5,2465000.00,3042000.00,56.12,621,18.5,5.6,-1.42,8.3,12693796.00,2.49,,15000.00,5.22,19.86
Faroe Islands,Europe,870000.00,40000.00,1,,1393.00,14.94,18443.00,-1.7,5.86,8.61,35,7.6,128000.00,0.00,1184000000.00,978400000.00,-0.3,51728.00,27540.00,81.47,,37.2,,0,,52600.00,0.63,,960.00,2.28,2.2
Cayman Islands,Central America and the Caribbean,808000.00,67500.00,3,,264.00,11.62,3200.00,4.8,7.47,6.06,,2.1,174000.00,175578000.00,3652000000.00,2507000000.00,2,55148.00,39000.00,82.25,,40.5,,12.34,,65483.00,1.79,,785.00,1.82,4
Eritrea,Africa,798000.00,1600.00,13,0.93,117600.00,26.72,5000.00,-9.8,40.63,6.6,131.2,,228000.00,3217000.00,624300000.00,1127000000.00,9,792000.00,1675000.00,67.19,322,20.3,10.3,-9.38,5,6274796.00,1.08,306.00,16000.00,3.5,8.05
Bermuda,North America,796000.00,80300.00,1,,54.00,10.97,23000.00,-2.9,2.17,9.2,43,1.9,172000.00,176312000.00,1123000000.00,1925000000.00,1.9,64000.00,33480.00,82.25,,43.6,,1.43,,72576.00,0.32,,447.00,1.89,7
Lesotho,Africa,736000.00,2300.00,24,3.56,30355.00,23.01,5060.00,-6,47.04,10.9,33.7,8.7,74000.00,7823000.00,1080000000.00,2221000000.00,6.05,1104000.00,955600.00,59.87,566,24.7,1.9,-4.52,16.6,2210646.00,0.76,,5940.00,2.88,24.6
